LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,YrSold,const
2522,7,5,2004,2004,1709,2,3,1,2006,1
6000,6,6,1925,1980,1103,1,2,1,2006,1
12735,4,5,1972,1972,864,1,3,1,2008,1
5362,5,6,1910,2003,1250,2,3,1,2007,1
11500,4,3,1957,1957,845,1,3,1,2009,1
9600,5,7,1949,2003,893,1,2,1,2007,1
7200,5,5,1972,1972,894,1,2,1,2009,1
7200,5,5,1980,1980,936,1,2,1,2007,1
7728,5,6,1962,1962,1190,1,3,1,2006,1
8199,7,5,2005,2005,1456,2,3,1,2008,1
10357,7,5,1990,1991,1442,2,3,1,2007,1
11175,7,5,2007,2007,1316,2,3,1,2007,1
10500,5,7,1971,2005,1109,1,3,1,2007,1
1890,6,5,1973,1973,1218,1,3,1,2007,1
10206,3,3,1952,1952,944,1,2,1,2009,1
13350,5,5,1974,1974,894,1,3,1,2006,1
12257,8,5,1995,1995,2531,2,4,1,2007,1
14778,6,7,1954,2006,1640,1,3,1,2008,1
6292,6,5,1930,1950,790,1,2,1,2008,1
11341,5,6,1957,1996,1392,1,3,1,2010,1
10440,6,7,1920,1950,2792,2,5,1,2008,1
8640,7,5,2009,2009,1852,2,3,1,2009,1
11275,6,7,1932,1950,1991,1,3,1,2007,1
11100,4,7,1946,2006,930,1,2,1,2010,1
7252,5,5,1982,1982,858,1,2,1,2009,1
10175,6,5,1964,1964,1425,2,3,1,2008,1
20781,7,7,1968,2003,2156,2,3,1,2006,1
7758,5,7,1962,2001,999,1,3,1,2007,1
9452,8,5,1997,1998,2392,2,3,1,2006,1
9541,7,5,2009,2009,1502,2,3,1,2009,1
4282,7,5,2004,2004,1391,2,2,1,2008,1
10421,7,5,1988,1988,1714,2,3,1,2010,1
8520,6,8,1928,2003,720,1,2,1,2010,1
11443,8,5,2005,2006,2028,2,2,1,2006,1
12798,6,5,1997,1997,1688,2,4,1,2008,1
16466,5,7,1955,1955,1393,1,3,1,2008,1
10593,7,5,1996,1996,1720,2,3,1,2010,1
8089,8,6,2007,2007,1419,2,2,1,2007,1
9084,5,6,1941,1950,1111,1,3,1,2008,1
10800,5,6,1915,1950,1652,2,4,1,2010,1
8765,4,6,1936,1950,951,1,2,1,2006,1
12000,5,7,1948,2005,1122,1,2,1,2008,1
10140,6,6,1974,1999,1309,1,3,1,2006,1
9900,7,5,1993,1993,2646,2,4,1,2009,1
